"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/Abhijeet_K-portfolio"
"Angular,.NET, SQL Server","https://example.com/Vishal-S-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/Mathur-G-portfolio"
"Python, Django, MySQL","https://example.com/Vishal-D-portfolio"
"Java, Spring Boot, Oracle","https://example.com/Ashwathi-P-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/Rohan-S-portfolio"
"WordPress, PHP, MySQL","https://example.com/Tanmay-portfolio"
"Magento, PHP, MySQL","https://example.com/Anupriya-portfolio"
"React Native, Node.js, MongoDB","https://example.com/Sourav-portfolio"
"iOS, Swift, Core Data","https://example.com/Tanya-portfolio"
"Android, Java, Room Persistence","https://example.com/Apoorva-portfolio"
"Kotlin, Android, Firebase","https://example.com/Maya-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/Patrick-portfolio"
"iOS, Swift, ARKit","https://example.com/Ankit-S-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/Lalit-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/Ananya-S-portfolio"
"Frontend, TypeScript, Angular","https://example.com/Samriddhi-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/Ashwini-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/Swati-portfolio"
"DevOps, Jenkins, Docker","https://example.com/Sushila-portfolio"
